term,estimate,Type,2.5%,97.5%
C(industry)[T.Astronaut],0.0051235273182077,Judge,,
C(industry)[T.Athlete],0.0002755674167365,Judge,,
C(industry)[T.Beauty Pagent],-0.0006721622390719,Judge,,
C(industry)[T.Comedian],-0.0044129206167626,Judge,,
C(industry)[T.Entrepreneur],-0.0029454599676233,Judge,,
C(industry)[T.Fashion Designer],0.0038491421940697,Judge,,
C(industry)[T.Fitness Instructor],-0.0078020619922291,Judge,,
C(industry)[T.Journalist],0.021328682194617,Judge,,
C(industry)[T.Magician],-0.0254181780186987,Judge,,
C(industry)[T.Military],-0.0016020814357403,Judge,,
C(industry)[T.Model],-0.0100405845066568,Judge,,
C(industry)[T.Motivational Speaker],0.0054396464227835,Judge,,
C(industry)[T.Musician],0.0093808010220495,Judge,,
C(industry)[T.News Anchor],0.0064609098976913,Judge,,
C(industry)[T.Politician],-0.0201718623228562,Judge,,
C(industry)[T.Producer],0.0124467678221847,Judge,,
C(industry)[T.Racing Driver],-0.0241547665375481,Judge,,
C(industry)[T.Radio Personality],-0.0122391660664616,Judge,,
C(industry)[T.Singer/Rapper],0.0026301451218531,Judge,,
C(industry)[T.Social Media Personality],-0.0072485762777387,Judge,,
C(industry)[T.Social media personality],-0.0038221281610304,Judge,,
C(industry)[T.Sports Broadcaster],0.0048899355236762,Judge,,
C(industry)[T.TV Personality],-0.0080557575050683,Judge,,
age_z,-0.0056555659702278,Judge,,
week_norm,0.1933350591286467,Judge,,
partner Var,0.1608858165012253,Judge,,
season Var,0.4862599768698507,Judge,,
C(industry)[T.Astronaut],0.0483809078003405,Fan,-0.0428358694570435,0.1345029576276719
C(industry)[T.Athlete],0.0201219311183543,Fan,-0.0086460654862274,0.0476698949025161
C(industry)[T.Beauty Pagent],-0.0908889118856408,Fan,-0.1246374786400365,-0.0389869759319355
C(industry)[T.Comedian],0.0061367528734192,Fan,-0.0486230206750778,0.0445445615639941
C(industry)[T.Entrepreneur],0.0157827905746522,Fan,-0.0279445453773331,0.0477863526626677
C(industry)[T.Fashion Designer],0.0119231672948052,Fan,-0.0563890338674584,0.0562302947605557
C(industry)[T.Fitness Instructor],0.0488243912621663,Fan,-0.072962971478303,0.4170137356176817
C(industry)[T.Journalist],0.0260043475460786,Fan,-0.0576538269759601,0.1075859304503533
C(industry)[T.Magician],-0.0865959925329471,Fan,-0.1561626979510683,-0.027409812038017
C(industry)[T.Military],0.0298116665983921,Fan,-0.1362081643314597,0.3039172114563624
C(industry)[T.Model],-0.0116319556183769,Fan,-0.070190111481981,0.0489222465607193
C(industry)[T.Motivational Speaker],-0.0410547129516319,Fan,-0.2030753755051333,0.1066115580955581
C(industry)[T.Musician],0.0276827230123207,Fan,-0.0913071684200335,0.2183919744753661
C(industry)[T.News Anchor],-0.003292817298449,Fan,-0.0924399924604007,0.0617221507260112
C(industry)[T.Politician],0.0330602200801505,Fan,-0.0209401766262099,0.1812423857409613
C(industry)[T.Producer],0.0091796504391353,Fan,-0.2051027929395505,0.256254292024459
C(industry)[T.Racing Driver],-0.0277956909421371,Fan,-0.088522378231993,0.0311243622923136
C(industry)[T.Radio Personality],0.0657761732580701,Fan,-0.035635186174671,0.2385604055805698
C(industry)[T.Singer/Rapper],-0.0010510812926189,Fan,-0.0208499691071069,0.0312644826713655
C(industry)[T.Social Media Personality],-0.0622214755401577,Fan,-0.1227280986662222,0.020115897951924
C(industry)[T.Social media personality],0.2175433754658687,Fan,0.0203372571284124,0.4783057576434499
C(industry)[T.Sports Broadcaster],-0.0385384705913745,Fan,-0.1510544820362469,0.0881216828367341
C(industry)[T.TV Personality],-0.0128087057304263,Fan,-0.0376907232385221,0.0190576807910841
age_z,-0.0189737859525498,Fan,-0.0317439404744436,-0.0051824688823525
week_norm,0.1702357522842638,Fan,0.1632577893345371,0.1779194320086373
partner Var,0.3881951826469437,Fan,0.1289628663694189,0.8338081760059288
season Var,0.0851932974248696,Fan,0.0233462736889393,0.1770846464884204
