noise_level,tau_knee,tau_baseline
0.0,0.956015359202017,1.0
0.1,0.9523447255554696,0.9974980437214432
0.2,0.9728316975347042,0.9942209737433664
0.3,0.9579633157197024,0.9926211152913136
0.4,0.9608197448212532,0.9852380952380952
0.5,0.9354505364611704,0.9804339834213276
0.6000000000000001,0.9816080181410444,0.9740828060868276
0.7000000000000001,0.9751530677257466,0.9719888164704455
0.8,0.9624015284088516,0.9457665942482234
0.9,0.930204860716106,0.9388313770547764
1.0,0.9518035144665296,0.9335021649711384
