,mean,2.5%,97.5%,support_n
Jonathan Roberts,0.23960481025214186,0.0772709753165744,0.45448324713519345,30.0
Daniella Karagach,0.11090067863971077,0.021034838540055133,0.23238228517670204,30.0
Derek Hough,0.07739284398359418,0.025603152473502956,0.13617060721814545,30.0
Emma Slater/Kaitlyn Bristowe (week 9),0.06619407628160254,0.020528649291973126,0.18247922720244036,30.0
Dmitry Chaplin,0.05884236635765837,-0.04055591499596097,0.3002980533642354,30.0
Jenna Johnson,0.047113847343757044,-0.009918097352328006,0.1070164234753755,30.0
Alan Bersten,0.04544646079198563,-0.014171564703259774,0.14517243044030242,30.0
Kym Johnson,0.03623797585830197,-0.025398081599921324,0.10076767823934117,30.0
Lindsay Arnold,0.02299009120876193,-0.033275882241823346,0.08140989099558188,30.0
Mark Ballas,0.022143801938321907,-0.013281738602363057,0.058388004139032584,30.0
Julianne Hough,0.01954055284803179,-0.040821954437112354,0.09355981614661055,30.0
Peta Murgatroyd,0.019219120536944113,-0.023184185011224566,0.05149217672415455,30.0
Charlotte Jorgensen,0.018230595339823505,-0.16276836396897196,0.31335483307466483,30.0
Alec Mazo,0.01749561575414241,-0.06554892486229529,0.10787549893282568,30.0
Corky Ballas,0.015814092729933903,-0.023576125439982467,0.05050699823974868,30.0
Sharna Burgess,0.014924845650790835,-0.016380885463598203,0.06357749220523808,30.0
Emma Slater,0.014712116567922009,-0.02612132420445286,0.06242768410578278,30.0
Valentin Chmerkovskiy,0.014349992109627984,-0.027243923554630754,0.04994530835709864,30.0
Daniella Karagach (Rumer Willis week 9),0.006070941126218846,-0.07445655791401525,0.08811803773950672,30.0
Maksim Chmerkoskiy,0.004575117120103622,-0.05509121979460642,0.04478237426314309,30.0
Anna Trebunskaya,0.002905489909009241,-0.04711432052125916,0.08753561034092935,30.0
Val Chmerkovskiy (Joey Graziadei week 9),5.76774709555903e-17,-2.398187899329139e-15,1.652862815554014e-15,30.0
Brian Fortuna,-7.212693668973395e-18,-2.807985881869685e-16,2.935699558517263e-16,30.0
Lacey Schwimmer,-0.0013931699595382083,-0.04358415441748624,0.05235062068848711,30.0
Henry Byalikov,-0.0014949930367480183,-0.014759542437641108,0.006500637522575302,30.0
Tristan MacManus,-0.0029879445930828244,-0.03483900042593413,0.025016319876420667,30.0
Tyne Stecklein,-0.0032380095721263004,-0.029846071884970474,0.019399189576669307,30.0
Ezra Sosa (Apolo Anton Ohno week 9),-0.003989862746712193,-0.09960888893692281,0.12419930905625925,30.0
Karina Smirnoff,-0.005444468951883391,-0.0440619173873135,0.03801853094500554,30.0
Tony Dovolani,-0.006254854712661422,-0.03817019946728743,0.035668553907159464,30.0
Witney Carson,-0.007262046203043036,-0.051954695845114945,0.02805311801750936,30.0
Inna Brayer,-0.007541893021289787,-0.019398063804321904,-0.00028331574722053064,30.0
Val Chmerkovskiy,-0.007685026909089115,-0.029938868343580543,0.023375168731897593,30.0
Andrea Hale,-0.00782226093333171,-0.04942633020468179,0.023064015763653536,30.0
Koko Iwasaki,-0.00939427211463962,-0.04268390177421894,0.033825983812661053,30.0
Kym Herjavec,-0.010007985564207176,-0.03502435472683278,0.014848715010775303,30.0
Alan Bersten (Rashad Jennings week 9),-0.012293531786963647,-0.07194496820500737,0.07693283399316633,30.0
Edyta Sliwinska,-0.01251236138842101,-0.07083678173450668,0.052236656359144984,30.0
Cheryl Burke,-0.015636903183311315,-0.04810334217822407,0.023943212275880817,30.0
Allison Holker,-0.02038993912108395,-0.08449786034178543,0.03478372739810746,30.0
Pasha Pashkov,-0.02611384238592258,-0.05656127747679595,0.009533602147203406,30.0
Anna Demidova,-0.03228633468560545,-0.06986991066795455,0.0067499813923223555,30.0
Jan Ravnik,-0.034389665339030324,-0.07021969441198121,0.00864060693118902,30.0
Fabian Sanchez,-0.03468330494550523,-0.07546831289205708,0.013077522239388106,30.0
Rylee Arnold,-0.03666509721936109,-0.08735269404736315,0.01925271623101251,30.0
Jesse DeSoto,-0.03881667034009083,-0.0713373109331586,-0.003589634763356947,30.0
Brandon Armstrong,-0.03897214961264006,-0.07056941283771319,-0.00512828995965689,30.0
Keo Motsepe,-0.039607947232758046,-0.06437315189299325,-0.017065130901888974,30.0
Elena Grinenko,-0.04504472692078251,-0.11106876951620098,-0.011516768504192022,30.0
Gleb Savchenko,-0.04514329246892489,-0.08003718446119212,-0.007717652792838413,30.0
Artem Chigvintsev,-0.04569670151993107,-0.06611897961621514,-0.02264043775872614,30.0
Chelsie Hightower,-0.04622196156424188,-0.1038765335759287,0.006480295114553195,30.0
Ashly DelGrosso,-0.04813723864894673,-0.11995399994246544,0.04070669995043271,30.0
Sasha Farber,-0.05234459137352348,-0.08222153159855357,-0.014848802655924883,30.0
Britt Stewart,-0.056150690160049595,-0.08672015674253476,-0.014026523485650293,30.0
Louis van Amstel,-0.057071816177647984,-0.08529817180701421,-0.021659784993754296,30.0
Nick Kosovich,-0.062009877955288534,-0.09209917876859948,-0.026362069054809846,30.0
