feature,mean_shap,q2.5,q97.5
rolling_avg_pJ,0.04028712,0.03461605,0.04772442
rolling_std_pJ,0.009701643,0.007636213,0.0122371875
week,0.0014850023,0.0009349335,0.0020185818
age,9.547294e-05,4.3577126e-07,0.00034591684
partner_enc,7.9372505e-05,0.0,0.0003589899
partner_network_pagerank,2.81341e-05,0.0,0.00014020462
partner_embedding_3,2.7626611e-05,0.0,0.00019217617
partner_embedding_1,2.7441443e-05,0.0,0.00015165145
partner_embedding_2,2.641458e-05,0.0,7.93123e-05
partner_network_degree,2.3187762e-05,0.0,0.00011958335
industry_enc,1.9503466e-05,0.0,9.341173e-05
partner_embedding_0,3.0737563e-06,0.0,2.2858045e-05
partner_network_closeness,1.8303273e-06,0.0,2.7878828e-05
